index_name,Country
The Global Dow,USA
Dow Jones,USA
NASDAQ 100,USA
NASDAQ Comp.,USA
NYSE International 100,USA
NYSE US 100,USA
Russell 2000,USA
S&P 500,USA
S&P/TSX,Canada
VIX,USA
U.S. Dollar Index,USA
DAX,Germany
DivDAX,Germany
MDAX,Germany
TecDAX,Germany
AEX,Netherlands
CAC 40,France
FTSE 100,Great Britain
IBEX 35,Spain
OMXS30,Sweden
SMI,Switzerland
BSX,Bermuda
IGPA,Chile
IBC,Venezuela
BVQ,Ecuador
SAX,Slovakia
EGX30,Egypt
NSE 20,Kenya
Hang Seng,Hong Kong
KOSPI,Republic of Korea
NIKKEI 225,Japan
SENSEX,India
Shanghai Composite,China
